review_id,date,bank_name,rating,churn,platform,sex,age,tenure,credit_score,balance,products_number,credit_card,active_member,data_source,content
95525050017,2025-11-08,Vietcombank,5,0,facebook,Female,43,13,419,3715837563.0,3,0,1,synthetic,
42761098009,2025-04-18,Vietcombank,3,0,facebook,Male,32,11,311,5310849505.0,2,0,1,synthetic,
77577919458,2025-09-09,Vietcombank,4,0,facebook,Male,24,5,350,3425456256.0,1,1,1,synthetic,
73836065495,2026-01-22,Vietcombank,2,1,facebook,Male,18,0,827,4205133343.0,5,1,1,synthetic,
72969808926,2026-02-13,Vietcombank,4,0,facebook,Female,39,20,578,4902642435.0,2,1,1,synthetic,
21073710298,2025-03-14,Vietcombank,2,1,facebook,Female,31,4,658,1753706755.0,2,1,1,synthetic,
51503725680,2025-06-28,Vietcombank,3,0,facebook,Female,30,1,450,3521963647.0,2,1,1,synthetic,
38481846971,2026-01-10,Vietcombank,3,0,facebook,Male,26,0,650,5022445487.0,1,1,0,synthetic,
22312280901,2026-02-04,Vietcombank,5,0,facebook,Male,44,8,567,6314527486.0,1,1,0,synthetic,
59041719287,2025-08-14,Vietcombank,1,1,facebook,Male,26,2,339,14280189704.0,1,1,1,synthetic,
87124848528,2025-11-18,Vietcombank,5,0,facebook,Male,40,6,308,9638594705.0,2,1,0,synthetic,
68489763140,2025-08-11,Vietcombank,4,0,facebook,Female,32,13,516,1456077776.0,4,0,1,synthetic,
94703813431,2025-10-17,Vietcombank,1,1,facebook,Male,36,4,673,2878563267.0,3,0,0,synthetic,
66683037552,2025-09-17,Vietcombank,5,0,facebook,Male,21,0,414,9784071241.0,1,1,1,synthetic,
62082297665,2025-11-26,Vietcombank,5,0,facebook,Female,53,1,821,2908824931.0,3,0,1,synthetic,
17956756092,2025-05-22,Vietcombank,4,0,facebook,Female,18,0,517,967968761.0,3,1,1,synthetic,
51428943383,2025-08-27,Vietcombank,4,0,facebook,Male,35,11,583,4891537000.0,2,1,0,synthetic,
34119628781,2025-08-26,Vietcombank,4,0,facebook,Female,35,17,623,10423562056.0,2,0,0,synthetic,
38405438977,2025-12-17,Vietcombank,2,1,facebook,Female,31,6,804,184946942.0,1,1,1,synthetic,
69924185650,2025-05-22,Vietcombank,1,1,facebook,Male,41,5,693,7951629486.0,1,1,1,synthetic,
39324776998,2025-11-30,Vietcombank,4,0,facebook,Female,24,5,590,9425637245.0,2,1,0,synthetic,
55214870859,2026-01-24,Vietcombank,2,1,facebook,Female,40,6,606,12356381928.0,2,1,1,synthetic,
60821062153,2025-06-08,Vietcombank,5,0,facebook,Male,22,1,753,6762375480.0,1,1,0,synthetic,
84383004975,2026-01-25,Vietcombank,4,0,facebook,Male,21,2,817,6529759601.0,1,0,1,synthetic,
86668061614,2025-09-26,Vietcombank,3,0,facebook,Female,28,8,764,12834988736.0,1,0,1,synthetic,
70452721774,2025-10-03,Vietcombank,2,1,facebook,Male,19,1,458,5677635889.0,2,1,1,synthetic,
36897894833,2025-10-26,Vietcombank,3,0,facebook,Male,29,8,695,5573991001.0,2,0,0,synthetic,
11198793792,2025-12-02,Vietcombank,1,1,facebook,Male,27,1,372,11326034009.0,1,1,1,synthetic,
82657500730,2026-02-13,Vietcombank,1,1,facebook,Female,29,9,385,8430728602.0,4,1,0,synthetic,
73261571633,2025-04-05,Vietcombank,2,1,facebook,Female,36,7,714,6971385091.0,1,1,1,synthetic,
82823972709,2025-09-22,Vietcombank,4,0,facebook,Female,23,2,381,14556941162.0,2,1,1,synthetic,
81109178198,2025-10-23,Vietcombank,3,0,facebook,Female,25,2,720,13352685717.0,1,0,1,synthetic,
85159659777,2026-01-17,Vietcombank,5,0,facebook,Female,41,2,564,7538730811.0,4,1,0,synthetic,
81365344278,2025-09-06,Vietcombank,4,0,facebook,Female,37,2,698,9118854347.0,3,1,1,synthetic,
18838382949,2025-12-16,Vietcombank,5,0,facebook,Male,44,9,691,13704850709.0,1,0,0,synthetic,
61828848877,2026-01-09,Vietcombank,4,0,facebook,Female,30,7,702,5576237255.0,4,1,1,synthetic,
82677850346,2025-08-26,Vietcombank,4,0,facebook,Female,49,20,521,9012031666.0,4,0,1,synthetic,
48448869503,2025-10-05,Vietcombank,2,1,facebook,Female,41,9,488,11804633335.0,1,1,1,synthetic,
10091508132,2025-08-08,Vietcombank,5,0,facebook,Female,31,6,745,8768171317.0,2,0,1,synthetic,
50522750383,2025-09-14,Vietcombank,4,0,facebook,Female,36,14,740,9992454484.0,2,0,0,synthetic,
81892662253,2025-10-22,Vietcombank,4,0,facebook,Female,18,0,528,2409491809.0,4,1,0,synthetic,
46755509220,2025-03-16,Vietcombank,4,0,facebook,Male,51,15,382,9567171799.0,5,0,1,synthetic,
92742009676,2025-05-03,Vietcombank,4,0,facebook,Male,40,7,825,13438010634.0,1,0,1,synthetic,
39099764533,2025-08-09,Vietcombank,3,0,facebook,Male,36,5,438,8657335982.0,1,1,1,synthetic,
26086159942,2025-09-07,Vietcombank,5,0,facebook,Male,21,2,750,3383474603.0,3,0,1,synthetic,
40688773218,2026-01-20,Vietcombank,3,0,facebook,Male,19,0,815,12996616227.0,1,1,1,synthetic,
59009138504,2025-03-05,Vietcombank,4,0,facebook,Male,26,4,770,3775595446.0,3,1,0,synthetic,
29419684264,2025-04-19,Vietcombank,4,0,facebook,Male,37,3,691,11195804808.0,5,1,1,synthetic,
16229304939,2025-06-15,Vietcombank,3,0,facebook,Female,51,10,453,2207072431.0,2,1,0,synthetic,
92531037826,2025-04-10,Vietcombank,5,0,facebook,Male,23,3,599,12356016920.0,1,1,1,synthetic,
80927898693,2025-08-10,Vietcombank,3,0,facebook,Male,25,1,679,13853999474.0,5,0,1,synthetic,
93233896076,2025-07-25,Vietcombank,2,1,facebook,Male,45,14,832,10003015255.0,1,1,1,synthetic,
38837046327,2025-10-31,Vietcombank,3,0,facebook,Male,24,1,610,3518081318.0,1,1,0,synthetic,
76618097213,2025-05-15,Vietcombank,3,0,facebook,Female,21,0,818,5260382104.0,2,1,1,synthetic,
17492613655,2025-12-20,Vietcombank,2,1,facebook,Female,23,1,626,1996779497.0,2,0,1,synthetic,
72729427804,2025-05-13,Vietcombank,5,0,facebook,Female,49,8,388,10199573047.0,3,1,1,synthetic,
20226219132,2025-04-12,Vietcombank,1,1,facebook,Male,28,3,703,7612856658.0,3,0,0,synthetic,
56509285915,2025-11-24,Vietcombank,2,1,facebook,Female,26,2,740,3479573864.0,3,1,1,synthetic,
40797612445,2025-09-09,Vietcombank,4,0,facebook,Male,20,0,486,6085211336.0,1,1,1,synthetic,
46552985902,2025-05-30,Vietcombank,5,0,facebook,Male,48,18,736,4692159903.0,1,1,1,synthetic,
66452517799,2025-10-02,Vietcombank,3,0,facebook,Female,43,14,528,12416402326.0,2,0,1,synthetic,
94715536642,2025-03-25,Vietcombank,1,1,facebook,Female,37,18,651,3065926538.0,2,0,0,synthetic,
62940848151,2025-10-18,Vietcombank,3,0,facebook,Female,26,2,750,5330225328.0,1,0,0,synthetic,
37462171278,2026-01-05,Vietcombank,3,0,facebook,Female,40,8,631,8227308829.0,2,1,1,synthetic,
36451623647,2025-11-23,Vietcombank,3,0,facebook,Female,26,7,603,11760099474.0,2,1,1,synthetic,
18779563905,2025-07-24,Vietcombank,2,1,facebook,Female,25,6,822,3368019412.0,1,1,1,synthetic,
43612281216,2025-08-09,Vietcombank,5,0,facebook,Male,44,3,600,7303681293.0,3,1,1,synthetic,
37289801773,2025-10-18,Vietcombank,4,0,facebook,Male,23,3,637,7721022851.0,1,1,1,synthetic,
73313863916,2025-12-07,Vietcombank,5,0,facebook,Male,25,4,477,4564574739.0,2,1,1,synthetic,
27042613506,2025-02-28,Vietcombank,5,0,facebook,Male,20,0,606,3439566320.0,1,0,1,synthetic,
77399382007,2026-01-26,Vietcombank,3,0,facebook,Male,28,3,331,11206506882.0,3,0,1,synthetic,
54920133793,2026-02-03,Vietcombank,1,1,facebook,Female,23,2,654,8519387551.0,2,1,1,synthetic,
16895708612,2025-10-11,Vietcombank,4,0,facebook,Female,38,20,572,4875212169.0,4,1,1,synthetic,
54001547199,2025-06-24,Vietcombank,2,1,facebook,Male,19,0,415,10271200632.0,4,0,1,synthetic,
65864120946,2026-01-16,Vietcombank,4,0,facebook,Female,18,0,722,9326852834.0,1,1,1,synthetic,
39150418497,2025-11-02,Vietcombank,1,1,facebook,Male,48,1,848,10838251302.0,3,0,1,synthetic,
44071503462,2025-09-02,Vietcombank,3,0,facebook,Female,43,10,501,336383222.0,1,1,0,synthetic,
88764396363,2026-01-02,Vietcombank,4,0,facebook,Male,45,12,504,12553781382.0,2,0,1,synthetic,
66374968806,2026-02-05,Vietcombank,4,0,facebook,Male,46,16,423,6798341202.0,3,1,1,synthetic,
57911315103,2025-09-26,Vietcombank,3,0,facebook,Male,26,4,571,5185847896.0,2,1,0,synthetic,
84343277471,2025-08-23,Vietcombank,5,0,facebook,Female,33,3,482,10215684161.0,2,0,1,synthetic,
76383132242,2025-09-17,Vietcombank,5,0,facebook,Male,50,14,417,7995354958.0,1,1,1,synthetic,
54880552592,2025-05-06,Vietcombank,3,0,facebook,Female,39,4,615,6399858192.0,1,1,1,synthetic,
87435642969,2025-11-11,Vietcombank,3,0,facebook,Female,28,7,778,8748706342.0,1,0,1,synthetic,
52272159167,2025-03-29,Vietcombank,5,0,facebook,Male,25,3,482,7967192043.0,3,0,0,synthetic,
47258805531,2025-06-04,Vietcombank,1,1,facebook,Male,31,4,543,7824769062.0,2,0,1,synthetic,
57392755461,2025-10-16,Vietcombank,4,0,facebook,Female,39,1,830,6645772018.0,1,1,1,synthetic,
96666765878,2025-09-04,Vietcombank,5,0,facebook,Female,22,3,333,1889001009.0,2,1,1,synthetic,
22891354469,2025-03-15,Vietcombank,4,0,facebook,Male,22,4,494,6215038988.0,4,0,0,synthetic,
32590120945,2025-04-09,Vietcombank,4,0,facebook,Male,57,15,461,5494092781.0,3,0,1,synthetic,
16858174619,2025-03-15,Vietcombank,4,0,facebook,Male,34,10,761,6926103082.0,3,1,0,synthetic,
81347128110,2025-04-22,Vietcombank,1,1,facebook,Female,28,4,350,12752891384.0,4,1,0,synthetic,
63932985471,2025-08-17,Vietcombank,2,1,facebook,Female,39,3,633,8512620279.0,2,0,0,synthetic,
92650745383,2025-12-05,Vietcombank,3,0,facebook,Male,38,7,640,7994409069.0,1,0,1,synthetic,
14520536183,2025-10-26,Vietcombank,3,0,facebook,Male,39,5,606,14013044164.0,3,0,1,synthetic,
44225675049,2025-05-18,Vietcombank,5,0,facebook,Male,23,3,585,12462394645.0,2,1,1,synthetic,
37179743145,2025-05-02,Vietcombank,3,0,facebook,Female,31,3,308,3334364409.0,4,0,1,synthetic,
51030770583,2026-02-05,Vietcombank,2,1,facebook,Female,34,0,473,8133435879.0,2,1,1,synthetic,
27728759771,2025-06-16,Vietcombank,3,0,facebook,Female,23,5,796,5529143480.0,1,0,1,synthetic,
98009661295,2025-08-04,Vietcombank,4,0,facebook,Female,35,3,602,2973710340.0,3,0,0,synthetic,
95748345146,2025-12-14,Vietcombank,5,0,facebook,Male,38,10,395,11074721713.0,2,1,1,synthetic,
14551131020,2025-04-28,Vietcombank,1,1,facebook,Female,31,0,477,8731301606.0,2,1,0,synthetic,
10863380317,2025-08-12,Vietcombank,2,1,facebook,Female,30,8,556,9815464478.0,2,0,0,synthetic,
52204213929,2025-09-07,Vietcombank,3,0,facebook,Female,37,18,529,2907987765.0,3,1,1,synthetic,
25938225082,2025-04-22,Vietcombank,3,0,facebook,Male,34,4,459,4874885133.0,2,0,1,synthetic,
95750559848,2025-07-13,Vietcombank,5,0,facebook,Female,44,4,306,7557215745.0,3,1,1,synthetic,
44099138552,2025-09-05,Vietcombank,2,1,facebook,Male,38,19,639,7581904647.0,3,1,1,synthetic,
68106763470,2025-04-16,Vietcombank,3,0,facebook,Male,30,8,841,4392497782.0,4,1,1,synthetic,
71304253524,2025-07-30,Vietcombank,3,0,facebook,Male,24,1,463,13094880217.0,3,1,1,synthetic,
85597102104,2025-12-29,Vietcombank,3,0,facebook,Female,44,1,330,5441513157.0,2,1,1,synthetic,
54374911437,2025-09-16,Vietcombank,4,0,facebook,Female,28,9,787,5140154275.0,3,1,1,synthetic,
30230287638,2025-06-11,Vietcombank,5,0,facebook,Male,28,2,315,8646984649.0,2,1,1,synthetic,
70569783273,2025-09-12,Vietcombank,3,0,facebook,Female,21,1,567,8817441637.0,1,1,0,synthetic,
49615914956,2025-03-19,Vietcombank,2,1,facebook,Male,31,1,453,15519445012.0,2,1,1,synthetic,
82923273155,2025-10-20,Vietcombank,1,1,facebook,Female,27,3,694,8634152421.0,2,1,1,synthetic,
43122660008,2025-10-27,Vietcombank,5,0,facebook,Female,18,0,746,1155687546.0,2,1,1,synthetic,
12933727880,2026-01-27,Vietcombank,5,0,facebook,Male,35,14,398,5676570940.0,4,1,0,synthetic,
80676402827,2025-05-04,Vietcombank,3,0,facebook,Female,48,0,550,5323400787.0,1,1,1,synthetic,
80651351585,2025-06-03,Vietcombank,5,0,facebook,Female,21,2,688,6622389704.0,2,1,1,synthetic,
67906263360,2026-01-09,Vietcombank,2,1,facebook,Male,29,10,778,9340458424.0,4,1,0,synthetic,
71535564831,2025-03-10,Vietcombank,3,0,facebook,Female,36,10,725,636684618.0,3,0,1,synthetic,
40537434814,2025-11-28,Vietcombank,4,0,facebook,Female,30,12,498,10103702650.0,1,0,1,synthetic,
86544801465,2025-08-06,Vietcombank,4,0,facebook,Female,39,1,614,5104687229.0,3,1,1,synthetic,
69353374323,2025-11-10,Vietcombank,3,0,facebook,Female,46,6,834,13659367252.0,4,0,1,synthetic,
19388931241,2025-07-12,Vietcombank,5,0,facebook,Male,20,2,670,9394851793.0,5,1,1,synthetic,
53442425169,2025-10-21,Vietcombank,3,0,facebook,Male,45,16,435,9247329544.0,1,0,1,synthetic,
34005755236,2025-11-03,Vietcombank,5,0,facebook,Male,27,6,850,15469136995.0,4,1,1,synthetic,
61944529906,2026-02-25,Vietcombank,1,1,facebook,Female,31,0,633,7060977728.0,2,0,0,synthetic,
34043437437,2025-07-15,Vietcombank,5,0,facebook,Female,36,15,449,9220203317.0,1,0,0,synthetic,
91969160563,2026-01-30,Vietcombank,4,0,facebook,Female,30,2,622,1253039458.0,3,0,1,synthetic,
83928579787,2025-08-02,Vietcombank,5,0,facebook,Male,21,2,825,8527604770.0,2,0,1,synthetic,
53241155626,2026-02-09,Vietcombank,5,0,facebook,Male,28,3,307,9591667673.0,1,0,1,synthetic,
39261059998,2025-07-14,Vietcombank,4,0,facebook,Female,43,1,512,2975703340.0,5,1,1,synthetic,
45023280985,2026-02-23,Vietcombank,4,0,facebook,Female,39,13,397,10119894129.0,4,1,1,synthetic,
26354191775,2025-11-14,Vietcombank,2,1,facebook,Male,35,4,453,4390710768.0,3,1,0,synthetic,
42686218195,2025-05-06,Vietcombank,4,0,facebook,Female,35,16,326,3254301462.0,3,1,1,synthetic,
83256360597,2025-10-18,Vietcombank,3,0,facebook,Male,37,14,412,5072954577.0,2,0,1,synthetic,
92182786951,2026-02-10,Vietcombank,4,0,facebook,Female,29,3,532,7466641824.0,5,1,1,synthetic,
84859463908,2025-03-23,Vietcombank,5,0,facebook,Female,47,8,472,7016497677.0,1,0,1,synthetic,
48326279124,2025-07-18,Vietcombank,3,0,facebook,Male,18,0,794,7790930249.0,1,1,0,synthetic,
26344380297,2025-06-04,Vietcombank,4,0,facebook,Male,22,0,707,4400496189.0,3,0,1,synthetic,
83613310830,2025-07-27,Vietcombank,2,1,facebook,Female,51,4,824,2983973866.0,3,1,0,synthetic,
47005800421,2026-02-20,Vietcombank,2,1,facebook,Male,24,4,646,3410108316.0,1,1,1,synthetic,
86397181711,2025-03-24,Vietcombank,5,0,facebook,Female,40,11,677,7134425804.0,2,0,1,synthetic,
17755459190,2025-07-14,Vietcombank,1,1,facebook,Male,48,3,714,2673998044.0,1,0,1,synthetic,
84553300671,2025-11-05,Vietcombank,4,0,facebook,Male,34,14,629,19047796132.0,2,1,1,synthetic,
99527900658,2026-02-04,Vietcombank,4,0,facebook,Female,21,1,460,15687625079.0,2,1,1,synthetic,
84656055035,2025-07-26,Vietcombank,3,0,facebook,Female,39,17,379,6880051727.0,1,1,1,synthetic,
14319762018,2026-02-15,Vietcombank,4,0,facebook,Male,36,10,389,2521384088.0,3,0,0,synthetic,
73492333201,2025-05-05,Vietcombank,3,0,facebook,Male,19,1,787,8071930317.0,3,1,0,synthetic,
94795876382,2026-01-12,Vietcombank,3,0,facebook,Female,23,4,801,14608996799.0,4,0,1,synthetic,
45317183712,2025-06-18,Vietcombank,5,0,facebook,Female,37,12,317,2649612965.0,1,0,1,synthetic,
12144796719,2026-01-20,Vietcombank,1,1,facebook,Male,47,15,311,6982911286.0,5,0,0,synthetic,
50926434015,2025-04-05,Vietcombank,4,0,facebook,Female,41,19,471,5552370029.0,2,1,1,synthetic,
40193531477,2026-01-09,Vietcombank,4,0,facebook,Male,24,5,812,7760037719.0,3,1,1,synthetic,
21543416284,2025-05-14,Vietcombank,4,0,facebook,Male,30,3,415,5369080937.0,2,1,1,synthetic,
25093274142,2025-09-16,Vietcombank,5,0,facebook,Male,33,3,356,12712830385.0,1,1,1,synthetic,
63205192833,2025-09-08,Vietcombank,4,0,facebook,Female,26,6,627,11894888477.0,1,1,1,synthetic,
77324418977,2025-03-05,Vietcombank,1,1,facebook,Male,27,0,517,9084131559.0,2,1,1,synthetic,
47480819423,2025-08-26,Vietcombank,1,1,facebook,Male,29,10,321,5160526712.0,1,1,1,synthetic,
21575749524,2025-11-02,Vietcombank,2,1,facebook,Male,24,1,551,3839722870.0,4,1,1,synthetic,
