review_id,date,bank_name,rating,churn,platform,sex,age,tenure,credit_score,balance,products_number,credit_card,active_member,data_source
20377435874,15/02/2026,Vietcombank,4,0,facebook,Female,20,1,788,1891971728,1,1,0,synthetic
14568015780,22/02/2026,Vietcombank,1,1,facebook,Male,59,0,350,703394161,4,1,1,synthetic
44986709733,06/02/2026,Vietcombank,3,0,facebook,Male,55,3,737,572680069,3,1,1,synthetic
92844942023,09/02/2026,Vietcombank,5,0,facebook,Male,45,10,573,868768943,2,0,1,synthetic
49854345441,18/02/2026,Vietcombank,1,1,facebook,Female,62,14,564,1893240894,1,1,1,synthetic
38287511763,29/01/2026,Vietcombank,4,0,facebook,Female,60,14,351,1475128859,1,1,0,synthetic
42497746272,13/02/2026,Vietcombank,4,0,facebook,Female,37,9,784,1886430133,1,1,1,synthetic
77128332555,14/02/2026,Vietcombank,3,0,facebook,Male,41,13,373,1028227198,1,1,0,synthetic
58950882593,19/02/2026,Vietcombank,3,0,facebook,Male,68,12,477,1404494532,4,1,1,synthetic
41212099825,15/02/2026,Vietcombank,5,0,facebook,Male,55,4,628,355555463,5,0,1,synthetic
19865840059,03/02/2026,Vietcombank,5,0,facebook,Male,52,3,534,337104580,2,1,1,synthetic
17647530930,01/02/2026,Vietcombank,5,0,facebook,Female,47,19,594,831564449,2,0,0,synthetic
29493176119,19/02/2026,Vietcombank,1,1,facebook,Male,26,7,728,77581533,3,0,1,synthetic
90564917909,09/02/2026,Vietcombank,4,0,facebook,Male,58,16,408,757782301,2,0,1,synthetic
38305617708,18/02/2026,Vietcombank,5,0,facebook,Female,35,10,399,402521933,1,0,0,synthetic
79973915819,19/02/2026,Vietcombank,4,0,facebook,Female,64,13,632,164161807,4,0,0,synthetic
14071392223,21/02/2026,Vietcombank,5,0,facebook,Male,20,1,636,317209939,4,1,1,synthetic
69836357970,31/01/2026,Vietcombank,3,0,facebook,Female,53,20,642,972209977,2,0,1,synthetic
33766146259,23/02/2026,Vietcombank,5,0,facebook,Female,65,4,486,1645375691,1,1,1,synthetic
87491642762,01/02/2026,Vietcombank,4,0,facebook,Male,57,10,566,883875913,1,1,0,synthetic
20574665201,24/02/2026,Vietcombank,5,0,facebook,Female,56,10,330,908200760,2,1,1,synthetic
83835980746,31/01/2026,Vietcombank,5,0,facebook,Female,29,10,440,865265667,1,0,1,synthetic
87949104792,26/01/2026,Vietcombank,2,1,facebook,Male,62,9,749,779917258,1,1,1,synthetic
